Number of files	File names	Informant	Year	Gender	Miscellanous
1014	SproAJ01.txt	Andrew J. Sproul	1863	M	
1015	SproAJ02.txt	Andrew J. Sproul	1863	M	
1016	SproAJ03.txt	Andrew J. Sproul	1863	M	
1017	SproAJ04.txt	Andrew J. Sproul	1863	M	
1018	SproAJ05.txt	Andrew J. Sproul	1863	M	
1019	SproAJ06.txt	Andrew J. Sproul	1863	M	
1020	SproAJ07.txt	Andrew J. Sproul	1863	M	
1021	SproAJ08.txt	Andrew J. Sproul	1863	M	
1022	SproAJ09.txt	Andrew J. Sproul	1863	M	
1023	SproAJ10.txt	Andrew J. Sproul	1862	M	
1024	SproAJ11.txt	Andrew J. Sproul	1862	M	
1025	SproAJ12.txt	Andrew J. Sproul	1862	M	
1026	SproAJ13.txt	Andrew J. Sproul	1862	M	
1027	SproAJ14.txt	Andrew J. Sproul	1863	M	
1028	SproAJ15.txt	Andrew J. Sproul	1863	M	
1029	SproAJ16.txt	Andrew J. Sproul	1862	M	
1030	SproAn01.txt	Annie Sproul	1870	F	
1031	SproMa01.txt	Margaret Sproul	1864	F	
1032	Sprou_01.txt	Martha Sproul	1848	F	
1033	SprouA01.txt	Alan Sproul	1859	M	
1034	SprouA02.txt	Alan Sproul	1870	M	
1035	SprouG01.txt	G. Sproul 	1872	N/A	
1036	SprouM01.txt	Mattilda Sproul	1862	F	
1037	SprouM02.txt	Mattilda Sproul	1861	F	
1038	SprouM03.txt	Mattilda Sproul	1861	F	
1039	SprouM04.txt	Mattilda Sproul	1860	F	
1040	SprouM05.txt	Mattilda Sproul	1857	F	
1041	SprouM06.txt	Mattilda Sproul	1857	F	
1042	SprouM07.txt	Mattilda Sproul	1854	F	
1043	SprouM08.txt	Mattilda Sproul	1850	F	
1044	SprouM09.txt	Mattilda Sproul	1854	F	
1045	SprouM10.txt	Mattilda Sproul	1859	F	
1046	SprouM11.txt	Mattilda Sproul	1864	F	
1047	SprouM12.txt	Mattilda Sproul	1865	F	
1048	SprouM13.txt	Mattilda Sproul	1865	F	
1049	SprouM14.txt	Mattilda Sproul	1866	F	
1050	SprouM15.txt	Mattilda Sproul	1866	F	
1051	SprouM16.txt	Mattilda Sproul	1869	F	
1052	SprouM18.txt	Mattilda Sproul	1865	F	
1053	SteeJa01.txt	James Steele	1791	M	
1054	SteeJa02.txt	James Steele	1789	M	
1055	SteeJa03.txt	James Steele	1780	M	
1056	SteeJo01.txt	Joseph Steele	1778	M	
1057	SteeJo02.txt	Joseph Steele	1777	M	
1058	SteelJ01.txt	James Steele	1769	M	
1059	SteelJ02.txt	James Steele	1806	M	
1060	SteelJ03.txt	James Steele	1797	M	
1061	Tallon01.txt	Robert Tallon	1832	M	
1063	Taylor01.txt	Joseph Taylor	1902	M	
1064	TonerC01.txt	Catherine Toner	1920	F	
1065	TonerE01.txt	Edward Toner	1818	M	
1066	TonerE02.txt	Edward Toner	1819	M	
1067	TorisC01.txt	Catherine Toristal	1823	F	
1068	TreacD01.txt	David Tracey	1906	M	
1069	TreacD02.txt	David Tracey	1913	M	
1070	TreacD03.txt	David Tracey	1912	M	
1071	TreacD04.txt	David Tracey	1912	M	
1072	TreacD05.txt	David Tracey	1913	M	
1073	TreacD06.txt	David Tracey	1913	M	
1074	TreacD07.txt	David Tracey	1913	M	
1075	TreacD08.txt	David Tracey	1931	M	
1076	TreacM01.txt	Michael Tracey	1908	M	
	TreacP01.txt	Patrick Tracey	1911	M	
1077	UnderM01.txt	Michael Underwood	1877	M	
1078	UnderM02.txt	Michael Underwood	1895	M	
1079	UnderM03.txt	Michael Underwood	1870	M	
1080	WalshR01.txt	Richard Walsh	1872	M	
1081	Wansbr01.txt	James Wansbrough	1700	M	
1082	Wansbr02.txt	James Wansbrough	1728	M	
1083	WardJ_01.txt	John Ward	1824	M	
1084	WhiteJ01.txt	John White	1841	M	
1085	WildeM01.txt	Mary Wildes	1838	F	
1086	WilliE01.txt	Edward Willis	1825	M	
1087	WilsoJ01.txt	Joseph Wilson	1849	M	
1088	WilsoR01.txt	Robert Wilson	1863	M	
1089	WrighH01.txt	Hannah Wright	1802	F	
1090	WrighJ01.txt	Joseph Wright	1801	M	
1091	WrighJ02.txt	Joseph Wright	1801	M	
1092	WrighJ03.txt	Joseph Wright	1803	M	
1093	WrighJ04.txt	Joseph Wright	1817	M	
1094	Wright01.txt	Margaret Wright	1808	F	
1095	Wyly__01.txt	Isabella Wyly	1856	F	
1096	Wyly__02.txt	Isabella Wyly	1857	F	
1097	Wyly__03.txt	Isabella Wyly	1857	F	
1098	Wyly__04.txt	Isabella Wyly	1858	F	
1099	Wyly__05.txt	Isabella Wyly	1858	F	
1100	Wyly__06.txt	Isabella Wyly	1858	F	
1101	Wyly__07.txt	Isabella Wyly	1859	F	
1102	Wyly__08.txt	Isabella Wyly	1859	F	
1103	Wyly__09.txt	Isabella Wyly	1865	F	
1104	Wyly__10.txt	Isabella Wyly	1877	F	
1105	Wyly__11.txt	Isabella Wyly	1857	F	
1106	YoungJ01.txt	John Young	1819	M	
